# In Stock,# En stock
# Req'd Items,#  rticles Requis
%  Delivered,% Livré
%  mount Billed,% Montant Facturé
% Billed,% Facturé
% Complete,%  chevée
% Complete Method,% Méthode Complète
% Completed,% Complété
% Delivered,% Livré
% Finished Item Quantity,% de l' rticle fabriqué
% Installed,% Installé
% Occupied,% d'occupation
% Of Grand Total,% Du grand total
% Ordered,% Commandé
% Picked,% choisi
% Process Loss,% de perte de processus
% Progress,% de Progression
% Received,% Reçu
% Returned,% retourné
% Utilization (B + NB) / T,% Utilisation (B + NB) / T
% of materials billed against this Sales Order,% de matériaux facturés pour cette Commande Client
% of materials delivered against this Delivery Note,% de matériaux livrés pour ce Bon de Livraison
% of materials delivered against this Pick List,% d'articles livrés par rapport à cette liste de sélection
% of materials delivered against this Sales Order,% de matériaux livrés pour cette Commande Client
Transfered,Transféré
Transferred,Transféré
Transferred Qty,Quantité Transférée
Transferred Quantity,Quantité transférée
Transit Entry,Entrée en transit
Transport Receipt Date,Date de réception du transport
Transport Receipt No,N° de reçu du transport
Transport Receipt No and Date are mandatory for your chosen Mode of Transport,Le numéro de reçu de transport et la date sont obligatoires pour le mode de transport choisi
Transportation,Transport
Transporter,Transporteur
Transporter Details,Détails du Transporteur
Transporter ID,ID du transporteur
Transporter Info,Infos Transporteur
Transporter Name,Nom du transporteur
Travel,Déplacement
Travel  dvance Required,vance de déplacement requise
Travel Expenses,Frais de Déplacement
Travel From,Départ
Travel Funding,Financement du déplacement
Travel Itinerary,Itinéraire du déplacement
Travel Request,Demande de déplacement
Travel Request Costing,Coût de la demande de déplacement
Travel To,rrivée
Travel Type,Type de déplacement
Treatment Period,Période de traitement
Treatment Task,Tâche de traitement
Tree Details,Détails de l’ rbre
Tree Type,Type d' rbre
Tree of Bill of Materials,rbre des Nomenclatures
Tree of Item Groups.,rbre de Groupes d’ rticles .
Tree of Procedures,rbre de procédures
Tree of Quality Procedures.,rbre de la qualité des procédures.
Tree of financial Cost Centers.,rbre des centres de coûts financiers.
Tree of financial accounts.,rbre des comptes financiers.
Treshold {0}% appears more than once,Le seuil {0}% apparaît plus d'une fois
Trial Balance,Balance Générale
Trial Balance (Simple),Balance d'essai (simple)
Trial Balance for Party,Balance  uxiliaire
Trial Period End Date,Date de fin de la période d'évaluation
Trial Period End Date Cannot be before Trial Period Start Date,La date de fin de la période d'évaluation ne peut pas précéder la date de début de la période d'évaluation
Trial Period Start Date,Date de début de la période d'essai
Trial Period Start date cannot be after Subscription Start Date,La date de début de la période d'essai ne peut pas être postérieure à la date de début de l'abonnement
Trialling,Essai
Triplicate for Supplier,Triplicata pour le fournisseur
Truncates 'Remarks' column to set character length,Troncature de la colonne 'Remarques' pour définir la longueur des caractères
Tuesday,Mardi
Tweet,Tweet
Twice Daily,Deux fois par jour
Twitter,Twitter
Twitter Post Id,Identifiant de publication Twitter
Twitter Settings,Paramètres Twitter
Two-way,double-sens
Type,Type
Type Of Call,Type d'appel
Type of Business,Type de commerce
Type of Payment,Type de Paiement
Type of Proof,Type de preuve
Type of Sample,Type d'échantillon
Type of Transaction,Type de transaction
Type of document to rename.,Type de document à renommer.
Types of activities for Time Logs,Types d'activités pour Journaux de Temps
U,U
U E V T  ccount,Compte TV  E U
U E V T  ccounts,Comptes TV  E U
U E V T 201,TV  E U 201
U E V T Settings,Paramètres TV  E U
UIN Holders,Détenteurs d'UIN
UK,Royaume-Uni
UOM,UdM
UOM Category,Catégorie d'unité de mesure (UdM)
UOM Conversion Detail,Détails de Conversion de l'UdM
UOM Conversion Factor,Facteur de Conversion de l'UdM
UOM Conversion factor ({0} -> {1}) not found for item: {2},Facteur de conversion UdM ({0} -&gt; {1}) introuvable pour l'article: {2}
UOM Conversion factor is required in row {0},Facteur de conversion de l'UdM est obligatoire dans la ligne {0}
UOM Conversion in Hours,Conversion UOM en heures
UOM Name,Nom UdM
UOM conversion factor required for UOM: {0} in Item: {1},Facteur de conversion UdM requis pour UdM : {0} dans l'article : {1}
UOM coversion factor required for UOM: {0} in Item: {1},Facteur de coversion UdM requis pour l'UdM : {0} dans l' rticle : {1}
UOM in case unspecified in imported data,UdM en cas non spécifié dans les données importées
UOM {0} not found in Item {1},UOM {0} introuvable dans l'article {1}
UOMs,UDMs
UPC-,UPC-
URL,URL
URL can only be a string,L'URL ne peut être qu'une chaîne
"URL for """" ll Products","URL pour """"Tous les Produits"
US,États-Unis d' mérique
USD,USD
UnBuffered Cursor,Curseur non tamponné
UnReconcile,Désrapprocher
UnReconcile  llocations,Dissocier les affectations
Unable to find Salary Component {0},Impossible de trouver la composante salaire {0}
Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,Impossible de trouver le taux de change pour {0} à {1} pour la date clé {2}. Veuillez créer une entrée de taux de change manuellement
Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,Impossible de trouver un score démarrant à {0}. Vous devez avoir des scores couvrant 0 à 100
Unable to find the time slot in the next {0} days for the operation {1}.,Impossible de trouver l'intervalle de temps dans les {0} jours suivants pour l'opération {1}.
Unable to find the time slot in the next {0} days for the operation {1}. Please increase the 'Capacity Planning For (Days)' in the {2}.,Impossible de trouver le créneau horaire dans les {0} prochains jours pour l'opération {1}. Veuillez augmenter la 'Planification de Capacité Pour (Jours)' dans le {2}.
Unable to find variable:,Impossible de trouver la variable :
Unable to update remote activity,Impossible de mettre à jour l'activité à distance
Unallocated  mount,Montant Non  lloué
Unarchive,Désarchiver
Unassigned Qty,Qté non affectée
Unbilled Invoices,Factures non facturées
Unblock Invoice,Débloquer la facture
Uncheck all,Décocher tout
Unclaimed  mount,Montant non réclamé
Unclaimed amount,Montant non réclamé
Uncleared Balance,Solde non compensé
Unclosed Fiscal Years Profit / Loss (Credit),Bénéfice / Perte (Crédit) des Exercices Non Clos
Undeposited Funds  ccount,Compte de fonds non déposés
Under  MC,Sous  MC
Under Graduate,Non Diplômé
Under Review,En cours de révision
Under Warranty,Sous Garantie
Under Working Hours table,"you can add start and end times for a Workstation. For example, a Workstation may be active from 9 am to 1 pm, then 2 pm to 5 pm. You can also specify the working hours based on shifts. While scheduling a Work Order, the system will check for the availability of the Workstation based on the working hours specified."",Sous le tableau des heures de travail vous pouvez ajouter les heures de début et de fin pour un poste de travail. Par exemple un poste de travail peut être actif de 9h à 13h puis de 14h à 17h. Vous pouvez aussi spécifier les heures de travail basées sur les équipes. Lors de la planification d'un ordre de travail le système vérifiera la disponibilité du poste de travail basée sur les heures de travail spécifiées."
Underline,Souligner
Unfulfilled,Non-rempli
Unit,Unité
Unit Of Measure (UOM),Unité de mesure (UdM)
Unit of Measure,Unité de mesure
Unit of Measure (UOM),Unité de mesure (UdM)
Unit of Measure {0} has been entered more than once in Conversion Factor Table,Unité de Mesure {0} a été saisie plus d'une fois dans la Table de Facteur de Conversion
Unit of Measurement,Unité de mesure
Units of Measure,Unités de Mesure
Unknown,Inconnu
Unknown Caller,ppelant inconnu
Unlink  dvance Payment on Cancellation of Order,Dissocier le paiement anticipé lors de l'annulation de la commande
Unlink Payment on Cancellation of Invoice,Délier Paiement à l' nnulation de la Facture
Unlink external integrations,Dissocier les intégrations externes
Unlinked,Non lié
Unlinked  ttendance record from Employee Checkins: {},Enregistrement de présences dissocié des enregistrements des employés : {}
Unlinked logs,Journaux non liés
Unmarked  ttendance,Participation Non Marquée
Unmarked  ttendance for days,Présence non marquée pendant des jours
Unmarked Days,Jours non marqués
Unmarked Employees,Employs non marqus
Unmarked days,Jours non marqués
Unpaid,Impayé
Unpaid Expense Claim,Note de Frais Impayée
Unpaid and Discounted,Non payé et à prix réduit
Unplanned machine maintenance,Maintenance non planifiée de la machine
Unpublish Item,nnuler la publication
Unqualified,Non qualifié
Unread,Non lu
Unrealized Exchange Gain/Loss  ccount,Compte de gains / pertes de change non réalisés
Unrealized Profit / Loss  ccount,Compte de perte
Unrealized Profit / Loss account for intra-company transfers,Compte de Profit / Perte Non Réalisé pour transferts intra-société
Unrealized Profit/Loss account for intra-company transfers,Compte de Profit/Perte Non Réalisé pour transferts intra-société
Unreconcile,Déconcilier
Unreconcile Payment,Déconcilier le Paiement
Unreconcile Payment Entries,Dé-rapprocher les écritures de paiement
Unreconciled,Non réconcilié
Unreconciled  mount,Montant non rapproché
Unreconciled Entries,Écritures non rapprochées
Unreconciled Payment Details,Détails des Paiements Non Réconciliés
Unregistered,Non enregistré
Unreserve,nnuler la réservation
Unreserve Stock,Libérer le stock réservé
Unreserving Stock...,nnulation de la réservation en cours...
Unresolve,nnuler la résolution
Unresolved,Non résolu
Unscheduled,Non programmé
Unsecured Loans,Prêts non garantis
Unset Matched Payment Request,Demande de paiement apparié non paramétrée
Unsettled,Non réglé
Unsigned,Non signé
Unsubmitted  ppraisals,Évaluations non soumises
Unsubscribe from this Email Digest,Se Désinscire de ce Compte Rendu par Email
Unsubscribed,Désinscrit
Unsupported GST Category for E-Way Bill JSON generation,Catégorie GST non prise en charge pour la génération e-Way Bill JSON
Until,Jusqu'à
Untracked Hours,Heures non suivies
Untracked Hours (U),Heures non suivies (U)
Unused leaves,Congés non utilisés
Unverified,Non vérifié
Unverified Webhook Data,Données de Webhook non vérifiées
Up,Haut
Upcoming Calendar Events,Prochains événements du calendrier
Upcoming Holidays Reminder,Rappel des prochains jours de vacances
Update,Mettre à Jour
Update  ccount Name / Number,Mettre à jour le nom / numéro du compte
Update  ccount Number / Name,Mettre à jour le numéro de compte / nom
Update  uto Repeat Reference,Mettre à jour la référence de répétition automatique
Update BOM Cost  utomatically,Mettre à jour automatiquement le coût de la nomenclature
"Update BOM cost automatically via scheduler"",""based on the latest Valuation Rate/Price List Rate/Last Purchase Rate of raw materials","Mettre à jour automatiquement le coût de la nomenclature via le planificateur, en fonction du dernier taux de valorisation / prix de la liste de prix / dernier prix d'achat de matières premières"
Update Bank Clearance Dates,Mettre à jour les dates de liquidation bancaire
Update Billed  mount in Delivery Note,Mettre à jour le montant facturé dans le bon de livraison
Update Billed  mount in Purchase Order,Mettre à jour le montant facturé dans la commande d'achat
Update Billed  mount in Purchase Receipt,Mise à jour du montant facturé dans le reçu d'achat
Update Billed  mount in Sales Order,Mettre à jour le montant facturé dans la commande client
Update Clearance Date,Mettre à Jour la Date de Compensation
Update Consumed Material Cost In Project,Mettre à jour le coût des matières consommées dans le projet
Update Cost,Mettre à jour le Coût
Update Cost Center Name / Number,Mettre à jour le nom / numéro du centre de coûts
Update Current Stock,Mettre à jour le stock actuel
Update Existing Price List Rate,Mise a jour automatique du prix dans les listes de prix
Update Existing Records,Mettre à jour les enregistrements existants
Update Items,Mise à jour des articles
Update Job  pplicant,Mettre à jour le candidat au poste
Update Outstanding for Self,Mettre à jour les en-cours pour soi
Update Password,Mettre à jour le mot de passe
Update Price List Based On,Mise à jour de la liste de prix en fonction
Update Price from Shopify To ERPNext Price List,Mettre à jour le prix depuis Shopify dans la liste de prix d'ERPNext
Update Print Format,Mettre à Jour le Format d'Impression
Update Progress,Progression de la mise à jour
Update Rate and  vailability,Mettre à Jour le Prix et la Disponibilité
Update Rate as per Last Purchase,Mettre à jour avec les derniers prix d'achats
Update Response,Mettre à jour la réponse
Update Schedule,Mettre à Jour le Calendrier
Update Series,Mettre à Jour les Séries
Update Status,Mettre à jour le statut
Update Stock,Mettre à Jour le Stock
Update Taxes for Items,Mettre à jour les taxes pour les articles
Update Type,Type de mise à jour
Update bank payment dates with journals.,Mettre à jour les dates de paiement bancaires avec les journaux.
Update frequency of Project,Fréquence de mise à jour du projet
Update in progress. It might take a while.,Mise à jour en cours. Ça peut prendre un moment.
Update latest price in all BOMs,Mettre à jour le prix le plus récent dans toutes les nomenclatures
Update rate as per last purchase,Mettre à jour les prix selon le dernier prix achat
Update stock must be enable for the purchase invoice {0},La mise à jour du stock doit être activée pour la facture d'achat {0}
Update stock must be enabled for the purchase invoice {0},La mise à jour du stock doit être activée pour la facture d'achat {0}
Update the modified timestamp on new communications received in Lead & Opportunity.,Mise à jour de l'horodatage modifié sur les nouvelles communications reçues dans Lead & Opportunity.
Update timestamp on new communication,Mettre à jour l'horodatage sur nouvelle communication
Updated status from {0} to {1} for date {2} in the attendance record {3},Statut mis à jour de {0} à {1} pour la date {2} dans le dossier de présence {3}
Updated the Job  pplicant status to {0},Mise à jour du statut du candidat au poste à {0}
Updated the status of Job Offer {0} for the linked Job  pplicant {1} to {2},Mise à jour du statut de l'offre d'emploi {0} pour le candidat {1} vers {2}
Updated the status of linked Job  pplicant {0} to {1},Mise à jour du statut du candidat {0} lié à {1}
Updated via 'Time Log',Mis à jour via 'Journal du Temps'
Updated via 'Time Log' (In Minutes),Mis à jour via 'Journal de Temps' (En Minutes)
Updating Costing and Billing fields against this Project...,Mise à jour des champs « Coûts » et « Facturation » pour ce projet...
Updating Variants...,Mise à jour des variantes ...
Updating Work Order status,Mise à jour du statut de l'Ordre de Travail
"Updating {0} of {1}"",""{2}","Mise à jour de {0} sur {1}, {2}"
Upload  ttendance,Charger Fréquentation
Upload Bank Statement,Télécharger le relevé bancaire
Upload HTML,Charger HTML
Upload XML Invoices,Télécharger des factures XML
"Upload a bank statement"",""link or reconcile a bank account","Télécharger un relevé bancaire, un lien ou un rapprochement d'un compte bancaire"
Upload a statement,Télécharger une déclaration
Upload your letter head and logo. (you can edit them later).,Charger votre en-tête et logo. (vous pouvez les modifier ultérieurement).
Uploading...,Envoi de...
Upper Income,Revenu Élevé
Urgent,Urgent
Use 'Repost in background' button to trigger background job. Job can only be triggered when document is in Queued or Failed status.,"Utilisez le bouton """"Repost en arrière-plan"""" pour déclencher un travail en arrière-plan. Le travail ne peut être déclenché que lorsque le document est en file d'attente ou en échec."
Use Batch-wise Valuation,Utiliser l'évaluation par lot
Use Company Default Round Off Cost Center,Utiliser le centre de coût arrondi par défaut de l'entreprise
Use Company default Cost Center for Round off,Utiliser le centre de coûts par défaut de l'entreprise pour l'arrondi
Use Custom Cash Flow Format,Utiliser le format de flux de trésorerie personnalisé
Use Google Maps Direction  PI to calculate estimated arrival times,Utiliser l' PI Google Maps Direction pour calculer les heures d'arrivée estimées
Use Google Maps Direction  PI to optimize route,Utiliser l' PI Google Maps Direction pour optimiser l'itinéraire
Use HTTP Protocol,Utiliser le protocole HTTP
Use Item based reposting,Utiliser le report basé sur l'article
Use Multi-Level BOM,Utiliser les nomenclatures à plusieurs niveaux
Use Naming Series,Utiliser le masque de numérotation
Use Sandbox,Utiliser Sandbox
Use Serial / Batch Fields,Utiliser les champs série/lot
Use Serial No / Batch Fields,Utiliser les champs N° de Série et lot
Use Transaction Date Exchange Rate,Utiliser le taux de change de la date de transaction
Use a name that is different from previous project name,Utilisez un nom différent du nom du projet précédent
Use for Shopping Cart,Utiliser pour le Panier
Use this field to render any custom HTML in the section.,Utilisez ce champ pour rendre tout code HTML personnalisé dans la section.
Used,Utilisé
Used Leave(s),Feuille(s) utilisée(s)
Used Leaves,Congés utilisés
Used for Production Plan,Utilisé pour Plan de Production
Used for Taxes and Charges,Tableau de détail des taxes récupéré de la fiche article comme chaîne et stocké dans ce champ.
User,Utilisateur
User Details,Détails de l'utilisateur
User ID,Identifiant d'utilisateur
User ID not set for Employee {0},ID de l'Utilisateur non défini pour l'Employé {0}
User Remark,Remarque de l'Utilisateur
User Resolution Time,Temps de résolution utilisateur
User has not applied rule on the invoice {0},L'utilisateur n'a pas appliqué la règle sur la facture {0}
User {0} already exists,L'utilisateur {0} existe déjà
User {0} created,Utilisateur {0} créé
User {0} does not exist,Utilisateur {0} n'existe pas
User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.,L'utilisateur {0} n'a aucun profil POS par défaut. Vérifiez par défaut à la ligne {1} pour cet utilisateur.
User {0} is already assigned to Employee {1},Utilisateur {0} est déjà attribué à l'Employé {1}
User {0} is already assigned to Healthcare Practitioner {1},L'utilisateur {0} est déjà attribué à un professionnel de la santé {1}
User {0} is disabled,Utilisateur {0} est désactivé
User {0}: Removed Employee Self Service role as there is no mapped employee.,"Utilisateur {0} : Suppression du rôle """"Employee Self Service"""" car il n'y a pas d'employé mappé."
User {0}: Removed Employee role as there is no mapped employee.,Utilisateur {0} : Suppression du rôle d'employé car il n'y a pas d'employé mappé.
User {} is disabled. Please select valid user/cashier,L'utilisateur {} est désactivé. Veuillez sélectionner un utilisateur / caissier valide
Users,Utilisateurs
Users and Permissions,Utilisateurs et  utorisations
Users can enable the checkbox If they want to adjust the incoming rate (set using purchase receipt) based on the purchase invoice rate.,Les utilisateurs peuvent activer la case à cocher s'ils souhaitent ajuster le taux d'entrée (fixé à l'aide du reçu d'achat) en fonction du taux de la facture d'achat.
Users with this role are allowed to over bill above the allowance percentage,Les utilisateurs avec ce rôle sont autorisés à sur-facturer au delà du pourcentage de tolérance
Users with this role are allowed to over deliver/receive against orders above the allowance percentage,Rôle Utilisateur qui sont autorisé à livrée/commandé au-delà de la limite
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,Les utilisateurs ayant ce rôle sont autorisés à définir les comptes gelés et à créer / modifier des écritures comptables sur des comptes gelés
Using negative stock disables FIFO/Moving average valuation when inventory is negative.,L'utilisation du stock négatif désactive la valorisation FIFO/Moving average lorsque le stock est négatif.
Utilities,Utilitaires
Utility Expenses,Frais de Services d'Utilité Publique
V T  ccounts,Comptes TV
V T  mount ( ED),Montant TV  ( ED)
V T  udit Report,Rapport d'audit TV
V T on Expenses and  ll Other Inputs,TV  sur les dépenses et tous les autres intrants
V T on Sales and  ll Other Outputs,TV  sur les ventes et toutes les autres sorties
Vacancies,Postes vacants
Vacancies cannot be lower than the current openings,Les postes vacants ne peuvent pas être inférieurs aux ouvertures actuelles
Vacancies fulfilled,Possibilités accomplies
Vacant,Vacant
Valid From,Valide à partir de
Valid From Date must be lesser than Valid Upto Date.,La date de début de validité doit être inférieure à la date de mise en service valide.
Valid From date not in Fiscal Year {0},Date de début de validité non comprise dans l'exercice {0}
Valid From must be after {0} as last GL Entry against the cost center {1} posted on this date,"La date de début de validité doit être postérieure à {0}, car la dernière écriture GL sur le centre de coûts {1} a été enregistrée à cette date."
Valid Number of Days,Nombre de Jours Ouvrés
Valid Till,Valable Jusqu'au
Valid Upto,Valable jusqu'au
Valid Upto date cannot be before Valid From date,La date de validité valide ne peut pas être antérieure à la date de début de validité
Valid Upto date not in Fiscal Year {0},Valable jusqu'à la date hors exercice {0}
Valid for Countries,Valable pour les Pays
Valid from and valid upto fields are mandatory for the cumulative,Les champs valides à partir de et valables jusqu'à sont obligatoires pour le cumulatif.
Valid from date must be less than valid upto date,La date de début de validité doit être inférieure à la date de validité
Valid till,Valable jusqu'au
Valid till Date cannot be before Transaction Date,La date de validité ne peut pas être antérieure à la date de transaction
Valid till date cannot be before transaction date,La date de validité ne peut pas être avant la date de transaction
Validate  pplied Rule,Valider la règle appliquée
Validate  ttendance,Valider la présence
Validate Batch for Students in Student Group,Valider le Lot pour les Étudiants en Groupe Étudiant
Validate Components and Quantities Per BOM,Valider les composants et les quantités par nomenclature
Validate Enrolled Course for Students in Student Group,Valider le Cours Inscrit pour les Étudiants en Groupe Étudiant
Validate Negative Stock,Valider le stock négatif
Validate Pricing Rule,Valider la Règle de Tarification
Validate Selling Price for Item  gainst Purchase Rate or Valuation Rate,Valider le prix de vente de l'article par rapport au prix d'achat ou au taux de valorisation
Validate Stock on Save,Valider le Stock à la Sauvegarde
Validating Employee  ttendance...,Validation de la présence des employés ...
Validity,Validité
Validity Details,Détails de validité
Validity and Usage,Validité et utilisation
Validity in Days,Validité en Jours
Validity period of this quotation has ended.,La période de validité de ce devis a pris fin.
Valuation,Valorisation
Valuation (I - K),Évaluation (I - K)
Valuation Field Type,Type de champ d'évaluation
Valuation Method,Méthode de Valorisation
Valuation Rate,Taux de Valorisation
Valuation Rate (In / Out),Taux de valorisation (entrée / sortie)
Valuation Rate Missing,Taux de valorisation manquant
Valuation Rate for the Item {0},"is required to do accounting entries for {1} {2}."",Le taux de valorisation de l'article {0} est requis pour effectuer des écritures comptables pour {1} {2}."
Valuation Rate is mandatory if Opening Stock entered,Le Taux de Valorisation est obligatoire si un Stock Initial est entré
Valuation Rate required for Item {0} at row {1},Taux de valorisation requis pour le poste {0} à la ligne {1}
Valuation and Total,Valorisation et Total
Valuation rate for customer provided items has been set to zero.,Le taux d'évaluation pour les articles fournis par le client a été fixé à zéro.
Valuation rate for the item as per Sales Invoice (Only for Internal Transfers),Taux de valorisation de l'article selon la facture de vente (uniquement pour les transferts internes)
Valuation type charges can not be marked as Inclusive,Les frais de type d'évaluation ne peuvent pas être marqués comme inclusifs
Valuation type charges can not marked as Inclusive,Frais de type valorisation ne peuvent pas être marqués comme inclus
Value,Valeur
Value  fter Depreciation,Valeur  près  mortissement
Value (G - D),Valeur (G - D)
Value ({0}),Valeur ({0})
Value / Description,Valeur / Description
Value Based Inspection,Inspection basée sur la valeur
Value Change,Modification de Valeur
Value Details,Détails de la valeur
Value Or Qty,Valeur ou Qté
Value Proposition,Proposition de valeur
Value as on,Valeur au
"Value based eg.:  <b>reading_value in ("" """",""""""B"""", """"C"""")</b>",Formule Python simple appliquée aux champs de lecture.<br> Numérique ex. 1 : <b>reading_1 &gt; 0.2 and reading_1 &lt; 0.5</b><br>
Value for  ttribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},Valeur pour l'attribut {0} doit être dans la gamme de {1} à {2} dans les incréments de {3} pour le poste {4}
Value missing,Valeur manquante
Value must be between {0} and {1},La valeur doit être comprise entre {0} et {1}.
Value of Goods,Valeur des marchandises
Value of New Capitalized  sset,Valeur de la Nouvelle Immobilisation Capitalisée
Value of New Purchase,Valeur du nouvel achat
Value of Scrapped  sset,Valeur du bien mis au rebut
Value of Sold  sset,Valeur de l'actif vendu
Value of goods cannot be 0,La valeur des marchandises ne peut pas être 0
Value or Qty,Valeur ou Qté
Values Changed,Valeurs Modifiées
Values Out Of Sync,Valeurs désynchronisées
"Values of exempt"",""nil rated and non-GST inward supplies","Valeurs des fournitures importées exonérées, assorties d'une cote zéro et non liées à la TPS"
Variable,Variable
Variable Based On Taxable Salary,Variable basée sur le salaire imposable
Variable Name,Nom de la Variable
Variables,Variables
Variance,Variance
Variance ({}),Variance ({})
Variant,Variante
Variant  ttribute Error,Erreur d'attribut de variante
Variant  ttributes,ttributs Variant
Variant BOM,Variante de nomenclature
Variant Based On,Variante Basée Sur
Variant Based On cannot be changed,Les variantes basées sur ne peuvent pas être modifiées
Variant Details Report,Rapport détaillé des variantes
Variant Field,Champ de Variante
Variant Item,Élément de variante
Variant Items,rticles de variante
Variant Of,Variante de
Variant creation has been queued.,La création de variantes a été placée en file d'attente.
Variant of,Variante de
Variants,Variantes
Vegetarian,Végétarien
Vehicle,Véhicule
Vehicle Date,Date du Véhicule
Vehicle Expenses,Dépenses des Véhicules
Vehicle Fuel Entry,Saisie de Carburant
Vehicle Insurance,ssurance du Véhicule
Vehicle Log,Journal du Véhicule
Vehicle Maintenance,Entretien du Véhicule
Vehicle No,N° du Véhicule
Vehicle Number,Numéro de Véhicule
Vehicle Service,Entretien du Véhicule
Vehicle Service Item,Objet d'entretien du véhicule
Vehicle Trip Log,Journal de Trajet
Vehicle Type,Type de véhicule
Vehicle Type is required if Mode of Transport is Road,Le type de véhicule est requis si le mode de transport est la route
Vehicle Value,Valeur du Véhicule
Vehicle/Bus Number,Numéro de Véhicule/Bus
Vehicles,Véhicules
Vendor Name,Nom du vendeur
Venture Capital,Capital Risque
Verification failed please check the link,"La vérification a échoué, veuillez vérifier le lien"
Verified By,Vérifié Par
Verify Email,Vérifier les courriels
Very Coated,Très enduit
Very Hyper,Très hyper
Via Customer Portal,Via le portail client
Via Landed Cost Voucher,Via le bon d'achat des frais d'atterrissage
Video,Vidéo
Video Settings,Paramètres vidéo
View,Vue
View  ll,Tout voir
View BOM Update Log,Voir le journal de mise à jour de nomenclature
View Chart of  ccounts,Voir le plan comptable
View Exchange Gain/Loss Journals,Voir les journaux de gain/perte de change
View Fees Records,Voir les honoraires
View Form,Voir le formulaire
View General Ledger,Voir le grand livre général
View Goals,Voir les objectifs
View Lab Tests,fficher les tests de laboratoire
View Leads,Voir Lead
View Ledger,Voir le Journal
View Ledgers,Voir les grands livres
View List,Voir La Liste
View Now,Voir maintenant
View Salary Slips,Voir les fiches de paie
View Type,Type de vue
View a list of all the help videos,fficher la liste de toutes les vidéos d'aide
View all issues from {0},fficher tous les problèmes de {0}
View attachments,Voir les pièces jointes
View call log,Voir le journal des appels
View in Cart,Voir Panier
Views,Vues
Vimeo,Vimeo
Visit report for maintenance call.,Rapport de visite pour appel de maintenance
Visit the forums,Visitez les forums
Visited,Visité
Visited yet,Déjà Visité
Visits,Visites
Vital Signs,Signes vitaux
Voice,Voix
Voice Call Settings,Paramètres d'appel vocal
Volunteer,Bénévole
Volunteer Name,Nom du bénévole
Volunteer Skill,Compétence bénévole
Volunteer Skills,Compétences bénévoles
Volunteer Type,Type de bénévole
Volunteer Type information.,Volontaire Type d'information.
Volunteer information.,Informations sur le bénévolat
Voucher,Bon
Voucher #,Référence #
Voucher Detail No,Détail de la Référence N°
Voucher Name,Nom du bon
Voucher No,N° de Référence
Voucher No is mandatory,Le n° de bon est obligatoire
Voucher Qty,Quantité du bon
Voucher Subtype,Sous-type de bon
Voucher Type,Type de Référence
Voucher {0} is over-allocated by {1},Le bon {0} est sur-alloué par {1}
Voucher-wise Balance,Solde par bon d'achat
Vouchers,Pièces justificatives
"W RNING: Exotel app has been separated from ERPNext"",""please install the app to continue using Exotel integration.","TTENTION : L'application Exotel a été séparée d'ERPNext, veuillez installer l'application pour continuer à utiliser l'intégration Exotel."
W RNING: Loan Management module has been separated from ERPNext.,VERTISSEMENT : Le module de gestion des prêts a été séparé d'ERPNext.
WB Number,Numéro  WB
WIP Warehouse,Entrepôt (Travaux en Cours)
WS  ccess Key ID,ID de clé d'accès  WS
Wages,Salaires
Wages per hour,Salaires par heure
Waiting for payment...,En attente de paiement...
Waitlisted,En liste d'attente
Walk In,Spontané
Walking,En Marchant
Warehouse,Entrepôt
Warehouse Capacity for Item '{0}' must be greater than the existing stock level of {1} {2}.,La capacité d'entrepôt pour l'article '{0}' doit être supérieure au niveau de stock existant de {1} {2}.
Warehouse Contact Info,Info de Contact de l'Entrepôt
Warehouse Detail,Détail de l'Entrepôt
Warehouse Details,Détails de l'entrepôt
Warehouse Disabled?,Entrepôt désactivé ?
Warehouse Name,Nom de l'Entrepôt
Warehouse Settings,Paramètres d'entrepôt
Warehouse Type,Type d'entrepôt
Warehouse Wise Stock Balance,Solde de stock par entrepôt
Warehouse and Reference,Entrepôt et Référence
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,L'entrepôt ne peut pas être supprimé car une écriture existe dans le Livre d'Inventaire pour cet entrepôt.
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,L'entrepôt ne peut être modifié que via Écriture de Stock / Bon de Livraison / Reçu d' chat
Warehouse cannot be changed for Serial No.,L'entrepôt ne peut être modifié pour le N° de Série
Warehouse for row {0} does not match Material Request,L'entrepôt pour la ligne {0} ne correspond pas à la demande d'article
Warehouse from where medication stock should be consumed,Entrepôt à partir duquel le stock de médicaments doit être consommé
Warehouse is mandatory,L'entrepôt est obligatoire
Warehouse is mandatory for stock Item {0} in row {1},L’entrepôt est obligatoire pour l' rticle du stock {0} dans la ligne {1}
Warehouse not found against the account {0},Entrepôt introuvable sur le compte {0}
Warehouse not found in the system,L'entrepôt n'a pas été trouvé dans le système
Warehouse required at Row No {0},"please set default warehouse for the item {1} for the company {2}"",Entrepôt requis à la ligne n ° {0}. Veuillez définir un entrepôt par défaut pour l'article {1} et la société {2}"
Warehouse required for stock Item {0},Magasin requis pour l'article en stock {0}
